SIMULATION_NUMBER,BANK ACCOUNT
146,-0.0185113
147,0.0213576
148,-0.0173323
149,-0.0288225
150,-0.0290536
151,0.0223851
152,-0.0150723
153,0.046028
154,0.0205106
155,0.00881246
156,0.0132622
157,-0.0191462
158,0.0109308
159,-0.0106344
160,0.0262653
161,0.00232289
162,-0.00636992
163,0.029832
164,0.00502224
165,0.000318185
166,-0.027727
167,0.00919143
168,-0.00468176
169,0.0163682
170,-0.0759291
171,-0.0212759
172,0.0177001
173,0.00698411
174,-0.0208449
175,0.0199477
176,-0.00611117
177,0.0153583
178,-0.0367454
179,0.00279995
180,-0.027947
181,-0.00288947
182,0.00447924
183,0.0320161
184,0.00305239
185,-0.00469398
186,-0.00303364
187,-0.00994535
188,0.0191058
189,0.0128707
190,0.00779754
191,0.0249193
192,0.0173696
193,0.0285196
194,-0.0143189
195,-0.0132271
196,0.00997117
197,0.00866596
198,-0.0185433
199,-0.0322808
200,-0.00982543
201,-0.0210644
202,0.0129459
203,-0.00738784
204,0.0114788
205,0.0194628
206,-0.0467144
207,0.0507368
208,0.0162401
209,-0.0140769
210,-0.0206733
211,0.00243701
212,-0.0112602
213,-0.0221618
214,-0.0107063
215,0.0437988
216,0.0219807
217,-0.0104106
218,-0.00791225
219,0.0134623
220,-0.0288281
221,-0.00421979
222,0.00519376
223,0.00397719
224,0.0164986
225,0.00910894
226,-0.00503244
227,-0.0594523
228,-0.0104331
229,0.00680977
230,0.0122316
231,0.0176712
232,-0.000746772
233,0.0214619
234,-0.00163289
235,0.00234572
236,0.0130331
237,0.0117169
238,-0.0100235
239,0.0160226
240,-0.00308718
241,-0.0224412
242,0.0209305
243,-0.0305076
244,0.0238939
245,0.0111857
246,0.00540871
247,0.0143589
248,0.0250352
249,-0.0176653
250,-0.00904912
251,0.005888
252,0.028181
253,0.0201745
254,-0.0112192
255,0.0135642
256,0.00261695
257,0.0186974
258,-0.0478695
259,-0.0122529
260,0.00443864
261,-0.00633266
262,-0.00664112
263,-0.0126139
264,-0.00535494
265,0.0476652
266,0.00903128
267,0.0213886
268,0.00309747
269,0.00568931
270,-0.017702
271,0.0371164
272,0.0127883
273,-0.0228591
274,-0.00864762
275,-0.0163295
276,-0.0298201
277,-0.0117722
278,0.000994031
279,-0.0258892
280,0.0129882
281,0.0084323
282,0.0170278
283,0.00667365
284,0.0306645
285,0.00312239
286,0.01296
287,-0.0430904
288,0.0322375
289,-0.0372343
290,-0.0330724
291,0.0252423
292,-0.0235478
293,-0.0142324
294,0.0156003
295,0.0203636
296,-0.00254539
297,0.0292287
298,0.00935364
299,0.0346216
300,-0.0216184
301,0.0405326
302,-0.021957
303,-0.0249333
304,-0.0151882
305,0.0405441
306,-0.0254006
307,-0.00470559
308,-0.000418742
309,-0.0105421
310,0.00999864
311,0.00213825
312,0.00795205
313,0.00838103
314,0.00696979
315,-0.032586
316,-0.0246016
317,0.0104339
318,0.0211766
319,-0.0104494
320,-0.005249
321,0.00243019
322,-0.0364467
